Address,City,Price Sold,Bed,Bath,sqft,pricesqft,days on Redfin,catchment
4815 TRINITY St,PHILADELPHIA,505000,5,2.5,2535.00,199.00,838 days,0
4812 TRINITY Pl,PHILADELPHIA,370000,5,4.5,2175.00,170.00,844 days,0
349 S 47TH St Unit A210,PHILADELPHIA,302000,2,2,1481.00,204.00,845 days,0
4809 WINDSOR Ave,PHILADELPHIA,536400,5,2.5,3000.00,179.00,848 days,0
4620 KINGSESSING Ave Unit A,PHILADELPHIA,350000,4,4.5,1700.00,206.00,848 days,0
4742 PINE St #201,PHILADELPHIA,215000,1,1,624.00,345.00,850 days,0
4821 WINDSOR Ave,PHILADELPHIA,475000,3,2.5,3000.00,158.00,850 days,0
4707 SPRINGFIELD Ave,PHILADELPHIA,592000,5,2.5,3129.00,189.00,856 days,0
4708 CEDAR Ave,PHILADELPHIA,366000,5,3,2610.00,140.00,870 days,0
4617 KINGSESSING Ave,PHILADELPHIA,325000,6,3,2352.00,138.00,885 days,0
4815 OSAGE Ave,PHILADELPHIA,255000,3,1.5,1632.00,156.00,890 days,0
4710 CEDAR Ave,PHILADELPHIA,529000,5,2,2610.00,203.00,890 days,0
509 S 49TH St,PHILADELPHIA,525000,4,2.5,3400.00,154.00,899 days,0
4845 OSAGE Ave,PHILADELPHIA,380000,3,2.5,1512.00,251.00,907 days,0
428 S 47TH St,PHILADELPHIA,532500,5,2.5,2548.00,209.00,925 days,0
4409 SANSOM St,PHILADELPHIA,377500,4,2,2269.00,166.00,932 days,0
4838 HAZEL Ave,PHILADELPHIA,510000,6,2,2400.00,213.00,932 days,0
231 S 49TH St,PHILADELPHIA,350000,4,3.5,2160.00,162.00,942 days,0
4414 CHESTNUT St,PHILADELPHIA,340000,4,3,3040.00,112.00,946 days,0
4822 SANSOM St,PHILADELPHIA,215000,5,2,2080.00,103.00,961 days,0
4809 KINGSESSING Ave,PHILADELPHIA,175000,4,1,1696.00,103.00,964 days,0
4825 HAZEL Ave,PHILADELPHIA,511475,5,2.5,2400.00,213.00,967 days,0
1236 S 45TH St,PHILADELPHIA,389900,6,2,1580.00,247.00,985 days,0
4433 SANSOM St,PHILADELPHIA,360500,4,3.5,2269.00,159.00,999 days,0
4731 SANSOM St,PHILADELPHIA,105000,4,1,1500.00,70.00,1009 days,0
4235 SANSOM St,PHILADELPHIA,391000,6,2,2400.00,163.00,1030 days,0
4648 LARCHWOOD Ave,PHILADELPHIA,600000,5,2,2718.00,221.00,1062 days,0
4721 WINDSOR Ave,PHILADELPHIA,550000,5,2.5,2970.00,185.00,1065 days,0
351 S 47TH St Unit B305,PHILADELPHIA,307305,3,2.5,1720.00,179.00,1081 days,0
226 S 46TH St,PHILADELPHIA,460000,8,3,2690.00,171.00,1095 days,0
4742 Pine St,,220000,1,1,568.00,387.00,,0
4428 Chestnut St,,395000,4,2,3040.00,130.00,,0
4410 Chestnut St,,630000,6,3,3202.00,197.00,,0
4424 Ludlow St,,160000,3,1,1260.00,127.00,,0
4442 Ludlow St,,50500,4,1,1600.00,32.00,,0
4207 Ranstead St,,67000,2,1,550.00,122.00,,0
1254 S 45th St,,145000,4,1,1580.00,92.00,,0
1211 S Melville St,,275000,3,1,1360.00,202.00,,0
1203 S Melville St,,83527,3,1,1360.00,61.00,,0
42 S 44th St,,149500,3,1,1200.00,125.00,,0
1238 S Markoe St,,95000,3,1,1240.00,77.00,,0
1242 S Markoe St,,350000,3,1,1244.00,281.00,,0
1218 S 46th St,,124000,4,1,1590.00,78.00,,0
1221 S 46th St,,175000,5,2,2040.00,86.00,,0
4814 Windsor Ave,,600000,6,2,3300.00,182.00,,0
4812 Florence Ave,,140000,6,2.5,3300.00,42.00,,0
4731 Hazel Ave,,461000,6,2.5,2640.00,175.00,,0
4836 Osage Ave,,270000,3,1,1408.00,192.00,,0
4724 Osage Ave,,425000,3,1,1480.00,287.00,,0
4826 Osage Ave,,270000,3,1,1408.00,192.00,,0
4805 Springfield Ave,,775000,6,4,4203.00,184.00,,0
1131 S 46th St,,90000,4,2,2625.00,34.00,,0
4823 Kingsessing Ave,,285000,4,1,1696.00,168.00,,0
4628 Chester Ave,,315000,5,3,2397.00,131.00,,0
4526 Regent St,,300000,5,2,2310.00,130.00,,0
454 S 48th St,,22690,4,1,1664.00,14.00,,0
1011 S 48th St,,470000,6,2.5,2436.00,193.00,,0
521 S 48th St,,370000,5,2,1849.00,200.00,,0
604 S 48th St,,380000,6,2,3540.00,107.00,,0
228 Farragut St,,233274,3,1,1500.00,156.00,,0
4762 Chestnut St,,105000,4,1,1650.00,64.00,,0
4735 Sansom St,,125000,3,1,1500.00,83.00,,0
4727 Walnut St,,12100,4,1,9340.00,1.00,,0
