Address,City,Price Sold,Bed,Bath,sqft,pricesqft,days on Redfin,catchment
4200 PINE St #305,PHILADELPHIA,657500,3,3,2813.00,234.00,1016 days,1
4536 SANSOM St,PHILADELPHIA,229900,3,1,1498.00,153.00,1030 days,1
4619 OSAGE Ave,PHILADELPHIA,639000,5,2.5,2685.00,238.00,1037 days,1
509 S 42ND St,PHILADELPHIA,775000,8,6,3600.00,215.00,1037 days,1
513 S 42ND St,PHILADELPHIA,625000,5,6,3300.00,189.00,1037 days,1
4327 PINE St,PHILADELPHIA,470000,6,2,2250.00,209.00,1038 days,1
4511 OSAGE Ave,PHILADELPHIA,359000,2,2,1568.00,229.00,1044 days,1
238 S MELVILLE St,PHILADELPHIA,382000,3,3,2064.00,185.00,1044 days,1
519 WOODLAND Ter,PHILADELPHIA,492500,5,2.5,4092.00,120.00,1047 days,1
4648 LARCHWOOD Ave,PHILADELPHIA,600000,5,2,2718.00,221.00,1062 days,1
4312 PINE St,PHILADELPHIA,401000,3,1.5,1850.00,217.00,1067 days,1
258 S 44TH St,PHILADELPHIA,410000,6,2.5,2115.00,194.00,1079 days,1
4219 REGENT Sq,PHILADELPHIA,435000,3,2,1710.00,254.00,1083 days,1
224 S MELVILLE St,PHILADELPHIA,430000,5,2.5,2400.00,179.00,1089 days,1
503 S 46TH St,PHILADELPHIA,583000,6,4,2856.00,204.00,1089 days,1
443 S 43RD St,PHILADELPHIA,500000,5,2.5,2880.00,174.00,1090 days,1
4107 Locust St,,690000,7,4,3162.00,218.00,,1
4035 BALTIMORE Ave Unit R,UNIVERSITY CITY,360000,3,2,1318.00,273.00,,1
4037 Baltimore Ave Unit R,,320000,3,2,1440.00,222.00,,1
209 St Marks Sq,,518000,4,2,2712.00,191.00,,1
224 SAINT MARKS Sq,SPRUCE HILL,698500,6,2.5,2916.00,240.00,,1
4433 Baltimore Ave,,300000,13,11,3000.00,100.00,,1
4317 Baltimore Ave,,480000,6,2,2475.00,194.00,,1
4303 Baltimore Ave,,470000,5,3,2700.00,174.00,,1
424 S 42nd St,,485000,4,3,3150.00,154.00,,1
4337 Larchwood Ave,,550000,6,2,2400.00,229.00,,1
4334 Pine St,,390000,5,4,2250.00,173.00,,1
215 S 45th St,,775000,3,3,6600.00,117.00,,1
236 S 44th St,,425000,5,3,2400.00,177.00,,1
4528 Pine St,,525000,6,2,2640.00,199.00,,1
4529 Osage Ave,,315000,4,3,1880.00,168.00,,1
4520 Spruce St,,710000,7,3,4640.00,153.00,,1
4523 Baltimore Ave,,325000,3,2,3710.00,88.00,,1
4645 Hazel Ave,,550000,6,3,2363.00,233.00,,1
4624 Larchwood Ave,,355100,4,3,2718.00,131.00,,1
530 S MELVILLE St,UNIVERSITY CITY,475000,3,1.5,1572.00,302.00,,1
239 S 46th St,,389900,7,3,2955.00,132.00,,1
406 S 45th St,,525000,5,2,2700.00,194.00,,1
4517 Chester Ave,,650000,7,4,3540.00,184.00,,1
904 Farragut St,,230000,4,2,2397.00,96.00,,1
902 Farragut St,,300200,4,2,2397.00,125.00,,1
914 S 46th St,,300000,5,3,2640.00,114.00,,1
4212 Chester Ave,,525000,9,6,3600.00,146.00,,1
4105 Chester Ave,,300000,6,5,2160.00,139.00,,1
508 S 41st St,,550000,6,5,3978.00,138.00,,1
510 S 41st St,,550000,6,5,4048.00,136.00,,1
4226 Walnut St,,500000,5,3,3510.00,142.00,,1
511 S 41st St,,425000,6,3,2700.00,157.00,,1
327 S 46th St,,398718,6,3,3024.00,132.00,,1
219 S 45th St,,440000,5,2,2250.00,196.00,,1
4426 Pine St Apt 3F,,660000,3,2,2700.00,244.00,,1
4420 Pine St Apt 3R,,530000,3,2,2700.00,196.00,,1
1003 S 46th St,,270000,2,1,1250.00,216.00,,1
4530 Sansom St,,587500,6,4,2880.00,204.00,,1
426 S 44TH St #1,UNIVERSITY CITY,379000,3,2.5,2038.00,186.00,,1
1003-05 S 46TH St #3,UNIVERSITY CITY,225000,2,1,1250.00,180.00,,1
1003-05 S 46TH St Unit 5,UNIVERSITY CITY,230000,2,1,1250.00,184.00,,1
443 S 48TH St,PHILADELPHIA,437000,4,1,1664.00,263.00,4 days,0
4724 LARCHWOOD Ave,PHILADELPHIA,465000,3,1.5,1568.00,297.00,198 days,0
1208 S 46TH St,PHILADELPHIA,355000,5,2,2385.00,149.00,199 days,0
544 S 48th St Unit A,,285000,3,2,1350.00,211.00,,0
4515 Sansom St,,400000,3,2.5,2448.00,163.00,,0
"4625 PINE St Unit F103
Listed by: Elfant Wissahickon-Chestnut Hill",UNIVERSITY CITY,170000,1,1,817.00,208.00,,0
"4215-17 CHESTNUT St #404
Listed by: How Real Estate",SPRUCE HILL,338500,2,2,840.00,403.00,,0
4813 TRINITY St,PHILADELPHIA,590000,5,2.5,2490.00,237.00,30 days,0
4640 SPRUCE St,PHILADELPHIA,635000,9,3,3360.00,189.00,73 days,0
543 S 49TH St,PHILADELPHIA,550000,5,3.5,2856.00,193.00,81 days,0
4707 CEDAR Ave,PHILADELPHIA,535000,5,3,2916.00,183.00,106 days,0
4823 HAZEL Ave,PHILADELPHIA,440000,6,2.5,2400.00,183.00,106 days,0
1120 S 46TH St,PHILADELPHIA,475000,5,2.5,2622.00,181.00,110 days,0
4728 SANSOM St,PHILADELPHIA,342500,3,2,1500.00,228.00,114 days,0
26 S FARRAGUT St,PHILADELPHIA,158000,3,1,1280.00,123.00,114 days,0
36 S 48TH St,PHILADELPHIA,151000,3,1.5,1350.00,112.00,115 days,0
1128 S 47TH St,PHILADELPHIA,310000,3,3,2064.00,150.00,123 days,0
254 S 46TH St,PHILADELPHIA,566950,5,2,2225.00,255.00,134 days,0
227 S FARRAGUT St,PHILADELPHIA,410000,4,2,2520.00,163.00,144 days,0
4742 PINE St #204,PHILADELPHIA,290000,2,1.5,1086.00,267.00,149 days,0
"917 S 48TH St
Sold by: Redfin Corporation",PHILADELPHIA,795000,5,3.5,3365.00,236.00,157 days,0
4637 PINE St Unit D306,PHILADELPHIA,180000,1,1,813.00,221.00,169 days,0
349 S 47TH St Unit A510,PHILADELPHIA,285000,2,2,1481.00,192.00,170 days,0
4643 WALNUT St,PHILADELPHIA,346000,4,1.5,2080.00,166.00,170 days,0
4643 PINE St Unit C411,PHILADELPHIA,130000,1,1,906.00,143.00,177 days,0
4705 HAZEL Ave,PHILADELPHIA,300000,4,4.5,2640.00,114.00,197 days,0
4633 WALNUT St,PHILADELPHIA,650000,6,5,2795.00,233.00,197 days,0
4215-17 CHESTNUT St #207,PHILADELPHIA,325000,2,2,819.00,397.00,198 days,0
230 S FARRAGUT St,PHILADELPHIA,320000,3,1.5,1500.00,213.00,208 days,0
4604 KINGSESSING Ave,PHILADELPHIA,440000,7,3,2498.00,176.00,211 days,0
4817 WARRINGTON Ave,PHILADELPHIA,420000,4,2.5,3000.00,140.00,213 days,0
4807 KINGSESSING Ave,PHILADELPHIA,358000,3,2.5,1696.00,211.00,221 days,0
"4816 WARRINGTON Ave
Sold by: Redfin Corporation",PHILADELPHIA,475000,6,3.5,3000.00,158.00,234 days,0
4710 WARRINGTON Ave,PHILADELPHIA,285000,6,2,2700.00,106.00,246 days,0
4705 CHESTER Ave,PHILADELPHIA,600000,8,5,3186.00,188.00,267 days,0
545 S 49TH St,PHILADELPHIA,525000,5,3.5,2856.00,184.00,270 days,0
828 S 48TH St,PHILADELPHIA,460000,5,3.5,3000.00,153.00,274 days,0
4215-17 CHESTNUT St #204,PHILADELPHIA,327000,2,2,840.00,389.00,274 days,0
827 S 48TH St,PHILADELPHIA,485000,5,5,3402.00,143.00,274 days,0
4215-17 CHESTNUT St #307,PHILADELPHIA,354000,2,2,819.00,432.00,277 days,0
4215-17 CHESTNUT St #205,PHILADELPHIA,334000,2,2,862.00,387.00,278 days,0
1210 S MARKOE St,PHILADELPHIA,320000,3,1,1240.00,258.00,289 days,0
4834 LARCHWOOD Ave,PHILADELPHIA,475000,4,3,1900.00,250.00,290 days,0
"4215-17 CHESTNUT St #304
Sold by: Redfin Corporation",PHILADELPHIA,319000,2,2,840.00,380.00,302 days,0
"4215-17 CHESTNUT St #501
Sold by: Redfin Corporation",PHILADELPHIA,265000,1,1,496.00,534.00,302 days,0
4220 CHESTNUT St,PHILADELPHIA,685000,8,3,3300.00,208.00,304 days,0
34 S FARRAGUT St,PHILADELPHIA,141000,3,1,1200.00,118.00,305 days,0
601 S 48TH St,PHILADELPHIA,468000,5,2.5,3213.00,146.00,333 days,0
4441 SANSOM St,PHILADELPHIA,445000,4,2.5,2269.00,196.00,338 days,0
